Alpha,Theta,Device,Sensor0,Visible0,IR0,Sensor1,Visible1,IR1,Sensor2,Visible2,IR2,Sensor3,Visible3,IR3,Sensor4,Visible4,IR4,Sensor5,Visible5,IR5,Sensor6,Visible6,IR6,Sensor7,Visible7,IR7,Sensor8,Visible8,IR8,Sensor9,Visible9,IR9,Sensor10,Visible10,IR10,Sensor11,Visible11,IR11,TempSensor0,Temp0,TempSensor1,Temp1,TempSensor2,Temp2,TempSensor3,Temp3
0,170,BH1730,ch0,24679,16339,ch1,25973,16884,ch2,25639,16154,ch3,226,184,ch4,234,189,ch5,211,166,ch6,415,296,ch7,453,317,ch8,423,300,ch9,3740,3125,ch10,1630,1053,ch11,375,338,t0, 0, t1, 0, t2, 0, t3, 0
0,175,BH1730,ch0,24514,16026,ch1,25787,17024,ch2,25456,16133,ch3,236,197,ch4,229,189,ch5,202,162,ch6,378,272,ch7,434,304,ch8,414,296,ch9,550,415,ch10,255,219,ch11,218,194,t0, 0, t1, 0, t2, 0, t3, 0
0,180,BH1730,ch0,24451,15972,ch1,25512,16652,ch2,25377,15846,ch3,248,204,ch4,226,186,ch5,199,162,ch6,347,250,ch7,389,273,ch8,419,292,ch9,166,144,ch10,167,138,ch11,182,157,t0, 0, t1, 0, t2, 0, t3, 0
5,-180,BH1730,ch0,26776,17414,ch1,27640,17603,ch2,27291,17271,ch3,551,484,ch4,519,473,ch5,848,722,ch6,490,353,ch7,467,329,ch8,416,296,ch9,762,644,ch10,459,393,ch11,384,339,t0, 0, t1, 0, t2, 0, t3, 0
5,-175,BH1730,ch0,26293,17560,ch1,27413,17677,ch2,27062,17237,ch3,406,351,ch4,796,593,ch5,3696,2835,ch6,523,380,ch7,530,373,ch8,473,336,ch9,610,580,ch10,482,453,ch11,430,394,t0, 0, t1, 0, t2, 0, t3, 0
5,-170,BH1730,ch0,26027,17603,ch1,27121,17432,ch2,26611,16808,ch3,440,432,ch4,4758,3105,ch5,5937,4575,ch6,540,396,ch7,551,388,ch8,536,383,ch9,235,219,ch10,250,227,ch11,352,291,t0, 0, t1, 0, t2, 0, t3, 0
5,-165,BH1730,ch0,25742,17426,ch1,26853,17324,ch2,25979,16835,ch3,746,684,ch4,7634,5398,ch5,8296,5875,ch6,590,430,ch7,541,381,ch8,567,409,ch9,162,133,ch10,180,142,ch11,217,170,t0, 0, t1, 0, t2, 0, t3, 0
5,-160,BH1730,ch0,25385,17364,ch1,26818,16894,ch2,25406,16770,ch3,1534,1291,ch4,10381,6925,ch5,10622,7248,ch6,666,489,ch7,572,403,ch8,538,387,ch9,163,132,ch10,178,139,ch11,186,148,t0, 0, t1, 0, t2, 0, t3, 0
5,-155,BH1730,ch0,24729,16814,ch1,26086,16516,ch2,24497,16150,ch3,7231,3371,ch4,13138,8466,ch5,13010,8634,ch6,740,547,ch7,618,440,ch8,523,375,ch9,168,134,ch10,184,142,ch11,183,145,t0, 0, t1, 0, t2, 0, t3, 0
5,-150,BH1730,ch0,23870,15997,ch1,25341,16044,ch2,23637,14864,ch3,16214,9036,ch4,15806,9842,ch5,15378,9795,ch6,665,497,ch7,652,463,ch8,528,382,ch9,182,142,ch10,197,150,ch11,195,152,t0, 0, t1, 0, t2, 0, t3, 0
